ElementId,Category,Type Name,Level,Length_m,SurfaceArea_m2,Volume_m3,StartX_m,StartY_m,StartZ_m,EndX_m,EndY_m,EndZ_m,ConnCount,ConnSizes_m
﻿1664302,Cable Trays,Ladder Cable Tray,L1,19.000000000000004,15.260000000000044,0.57000000000000228,-15.242477252441988,-15.656483442646824,2.7500000000000004,-15.242477252441958,3.3435165573531793,2.7500000000000004,2,
﻿1664315,Cable Trays,Ladder Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000168,-8.68628500468912,43.719733752367958,2.7500000000000004,6.3137149953108818,43.719733752367958,2.7500000000000004,2,
﻿1664326,Cable Trays,Wire Mesh Cable Tray,L1,6.0000000000000009,4.8600000000000003,0.18000000000000005,4.1780973544324711,-11.010207125438386,2.7500000000000004,4.1780973544324809,-5.0102071254383853,2.7500000000000004,2,
﻿1664337,Cable Trays,Solid Bottom Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000168,-8.6862850046891182,-17.991337759619675,2.7500000000000004,6.3137149953108835,-17.991337759619725,2.7500000000000004,2,
﻿1664348,Cable Trays,Ladder Cable Tray,L1,13.000000000000002,10.460000000000027,0.3900000000000014,17.302622946693294,50.774810681065695,2.7500000000000004,17.302622946693276,37.774810681065695,2.7500000000000004,2,
﻿1666346,Cable Trays,Ladder Cable Tray,L1,19.000000000000004,15.260000000000044,0.57000000000000239,73.205778763007231,-44.395063919517185,2.7500000000000004,73.205778763007274,-25.395063919517177,2.7500000000000004,2,
﻿1666347,Cable Trays,Ladder Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,79.761971010760107,-25.395063919517177,2.7500000000000004,94.761971010760107,-25.395063919517177,2.7500000000000004,2,
﻿1666348,Cable Trays,Wire Mesh Cable Tray,L1,6.0000000000000009,4.8600000000000136,0.18000000000000069,92.626353369881699,-39.748787602308738,2.7500000000000004,92.626353369881727,-33.748787602308738,2.7500000000000004,2,
﻿1666349,Cable Trays,Solid Bottom Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,79.761971010760107,-46.729918236490036,2.7500000000000004,94.761971010760107,-46.729918236490086,2.7500000000000004,2,
﻿1666350,Cable Trays,Ladder Cable Tray,L1,13.000000000000002,10.460000000000027,0.3900000000000014,105.75087896214252,-18.339986990819444,2.7500000000000004,105.75087896214251,-31.339986990819444,2.7500000000000004,2,
﻿1666427,Cable Trays,Ladder Cable Tray,L1,19.000000000000004,15.260000000000044,0.57000000000000239,73.205778763007373,42.60493608048283,2.7500000000000004,73.205778763007402,61.604936080482837,2.7500000000000004,2,
﻿1666428,Cable Trays,Ladder Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,79.761971010760234,61.604936080482837,2.7500000000000004,94.761971010760249,61.604936080482837,2.7500000000000004,2,
﻿1666429,Cable Trays,Wire Mesh Cable Tray,L1,6.0000000000000009,4.8600000000000172,0.18000000000000083,92.626353369881841,47.251212397691276,2.7500000000000004,92.626353369881855,53.251212397691283,2.7500000000000004,2,
﻿1666430,Cable Trays,Solid Bottom Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,79.761971010760234,40.270081763509978,2.7500000000000004,94.761971010760249,40.270081763509928,2.7500000000000004,2,
﻿1666431,Cable Trays,Ladder Cable Tray,L1,13.000000000000002,10.460000000000027,0.3900000000000014,105.75087896214266,68.660013009180574,2.7500000000000004,105.75087896214265,55.660013009180567,2.7500000000000004,2,
﻿1666513,Cable Trays,Ladder Cable Tray,L1,19.000000000000004,15.260000000000039,0.57000000000000195,-127.31447938742268,85.226832698124028,2.7500000000000004,-127.31447938742265,104.22683269812401,2.7500000000000004,2,
﻿1666514,Cable Trays,Ladder Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,-120.75828713966982,104.22683269812404,2.7500000000000004,-105.7582871396698,104.22683269812404,2.7500000000000004,2,
﻿1666515,Cable Trays,Wire Mesh Cable Tray,L1,6.0000000000000009,4.8600000000000172,0.18000000000000083,-107.89390478054821,89.873109015332474,2.7500000000000004,-107.8939047805482,95.873109015332474,2.7500000000000004,2,
﻿1666516,Cable Trays,Solid Bottom Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,-120.75828713966982,40.270081763509992,2.7500000000000004,-105.7582871396698,40.270081763509943,2.7500000000000004,2,
﻿1666517,Cable Trays,Ladder Cable Tray,L1,13.000000000000002,10.460000000000035,0.39000000000000173,-41.038097277627841,111.28190962682177,2.7500000000000004,-41.038097277627863,98.281909626821758,2.7500000000000004,2,
﻿1666599,Cable Trays,Ladder Cable Tray,L1,19.000000000000004,15.260000000000044,0.57000000000000239,-115.31447938742268,-66.102751967144115,2.7500000000000004,-115.31447938742264,-47.102751967144108,2.7500000000000004,2,
﻿1666600,Cable Trays,Ladder Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,-108.7582871396698,-11.142683527834055,2.7500000000000004,-93.758287139669804,-11.142683527834055,2.7500000000000004,2,
﻿1666601,Cable Trays,Wire Mesh Cable Tray,L1,6.0000000000000009,4.8600000000000172,0.18000000000000083,-95.893904780548198,-61.456475649935669,2.7500000000000004,-95.893904780548183,-55.456475649935662,2.7500000000000004,2,
﻿1666602,Cable Trays,Solid Bottom Cable Tray,L1,15.000000000000002,12.060000000000034,0.45000000000000179,-108.7582871396698,-68.437606284116953,2.7500000000000004,-93.758287139669804,-68.437606284116995,2.7500000000000004,2,
﻿1666603,Cable Trays,Ladder Cable Tray,L1,13.000000000000002,10.460000000000029,0.39000000000000146,-32.929986088191029,-4.0876065991363228,2.7500000000000004,-32.929986088191043,-17.087606599136326,2.7500000000000004,2,
﻿1666661,Cable Trays,Ladder Cable Tray,L1,13.000000000000002,10.46000000000002,0.39000000000000118,53.007104620183071,205.32711152463253,2.7500000000000004,53.007104620183057,192.32711152463253,2.7500000000000004,2,
